entry_id,entry_date,account_id,debit,credit,description,reference_type,reference_id
1,2025-07-01,2,10011.91,0.0,Sale #1,Sale,1
2,2025-07-01,6,0.0,10011.91,Sale #1,Sale,1
3,2025-07-01,7,6633.809,0.0,COGS #1,Sale,1
4,2025-07-01,3,0.0,6633.809,COGS #1,Sale,1
5,2025-07-01,2,3222.02,0.0,Sale #2,Sale,2
6,2025-07-01,6,0.0,3222.02,Sale #2,Sale,2
7,2025-07-01,7,2111.271,0.0,COGS #2,Sale,2
8,2025-07-01,3,0.0,2111.271,COGS #2,Sale,2
9,2025-07-01,2,2808.76,0.0,Sale #3,Sale,3
10,2025-07-01,6,0.0,2808.76,Sale #3,Sale,3
11,2025-07-01,7,1699.4160000000002,0.0,COGS #3,Sale,3
12,2025-07-01,3,0.0,1699.4160000000002,COGS #3,Sale,3
13,2025-07-01,2,581.62,0.0,Sale #4,Sale,4
14,2025-07-01,6,0.0,581.62,Sale #4,Sale,4
15,2025-07-01,7,242.34000000000003,0.0,COGS #4,Sale,4
16,2025-07-01,3,0.0,242.34000000000003,COGS #4,Sale,4
17,2025-07-01,2,13187.28,0.0,Sale #5,Sale,5
18,2025-07-01,6,0.0,13187.28,Sale #5,Sale,5
19,2025-07-01,7,8571.732,0.0,COGS #5,Sale,5
20,2025-07-01,3,0.0,8571.732,COGS #5,Sale,5
21,2025-07-01,2,993.83,0.0,Sale #6,Sale,6
22,2025-07-01,6,0.0,993.83,Sale #6,Sale,6
23,2025-07-01,7,432.1,0.0,COGS #6,Sale,6
24,2025-07-01,3,0.0,432.1,COGS #6,Sale,6
25,2025-07-01,2,14117.4,0.0,Sale #7,Sale,7
26,2025-07-01,6,0.0,14117.4,Sale #7,Sale,7
27,2025-07-01,7,9636.66,0.0,COGS #7,Sale,7
28,2025-07-01,3,0.0,9636.66,COGS #7,Sale,7
29,2025-07-02,2,22745.71,0.0,Sale #8,Sale,8
30,2025-07-02,6,0.0,22745.71,Sale #8,Sale,8
31,2025-07-02,7,15575.867999999999,0.0,COGS #8,Sale,8
32,2025-07-02,3,0.0,15575.867999999999,COGS #8,Sale,8
33,2025-07-02,2,10994.3,0.0,Sale #9,Sale,9
34,2025-07-02,6,0.0,10994.3,Sale #9,Sale,9
35,2025-07-02,7,7529.9529999999995,0.0,COGS #9,Sale,9
36,2025-07-02,3,0.0,7529.9529999999995,COGS #9,Sale,9
37,2025-07-03,2,14298.31,0.0,Sale #10,Sale,10
38,2025-07-03,6,0.0,14298.31,Sale #10,Sale,10
39,2025-07-03,7,10322.998000000001,0.0,COGS #10,Sale,10
40,2025-07-03,3,0.0,10322.998000000001,COGS #10,Sale,10
41,2025-07-03,2,13729.01,0.0,Sale #11,Sale,11
42,2025-07-03,6,0.0,13729.01,Sale #11,Sale,11
43,2025-07-03,7,8870.186000000002,0.0,COGS #11,Sale,11
44,2025-07-03,3,0.0,8870.186000000002,COGS #11,Sale,11
45,2025-07-03,2,5505.3,0.0,Sale #12,Sale,12
46,2025-07-03,6,0.0,5505.3,Sale #12,Sale,12
47,2025-07-03,7,3963.1969999999997,0.0,COGS #12,Sale,12
48,2025-07-03,3,0.0,3963.1969999999997,COGS #12,Sale,12
49,2025-07-03,2,3745.72,0.0,Sale #13,Sale,13
50,2025-07-03,6,0.0,3745.72,Sale #13,Sale,13
51,2025-07-03,7,2588.5049999999997,0.0,COGS #13,Sale,13
52,2025-07-03,3,0.0,2588.5049999999997,COGS #13,Sale,13
53,2025-07-05,2,3335.39,0.0,Sale #14,Sale,14
54,2025-07-05,6,0.0,3335.39,Sale #14,Sale,14
55,2025-07-05,7,1978.62,0.0,COGS #14,Sale,14
56,2025-07-05,3,0.0,1978.62,COGS #14,Sale,14
57,2025-07-05,2,15399.67,0.0,Sale #15,Sale,15
58,2025-07-05,6,0.0,15399.67,Sale #15,Sale,15
59,2025-07-05,7,9990.695,0.0,COGS #15,Sale,15
60,2025-07-05,3,0.0,9990.695,COGS #15,Sale,15
61,2025-07-05,2,26650.94,0.0,Sale #16,Sale,16
62,2025-07-05,6,0.0,26650.94,Sale #16,Sale,16
63,2025-07-05,7,17767.296000000002,0.0,COGS #16,Sale,16
64,2025-07-05,3,0.0,17767.296000000002,COGS #16,Sale,16
65,2025-07-05,2,3747.04,0.0,Sale #17,Sale,17
66,2025-07-05,6,0.0,3747.04,Sale #17,Sale,17
67,2025-07-05,7,2177.768,0.0,COGS #17,Sale,17
68,2025-07-05,3,0.0,2177.768,COGS #17,Sale,17
69,2025-07-05,2,3826.26,0.0,Sale #18,Sale,18
70,2025-07-05,6,0.0,3826.26,Sale #18,Sale,18
71,2025-07-05,7,2169.216,0.0,COGS #18,Sale,18
72,2025-07-05,3,0.0,2169.216,COGS #18,Sale,18
73,2025-07-06,2,17945.22,0.0,Sale #19,Sale,19
