sale_id,sale_date,customer_id,product_id,quantity_kg,selling_price_per_kg,cost_price_per_kg,amount_paid,total_amount,profit,outstanding
1,2025-07-01,17,2,2447.9,4.09,2.71,3503.41,10011.91,3378.1,6508.5
2,2025-07-01,25,3,847.9,3.8,2.49,3219.65,3222.02,1110.75,2.37
3,2025-07-01,12,5,2360.3,1.19,0.72,1376.28,2808.76,1109.34,1432.48
4,2025-07-01,20,6,1211.7,0.48,0.2,577.13,581.62,339.28,4.49
5,2025-07-01,23,4,5494.7,2.4,1.56,4333.6,13187.28,4615.55,8853.68
6,2025-07-01,14,6,2160.5,0.46,0.2,660.37,993.83,561.73,333.46
7,2025-07-01,12,4,6138.0,2.3,1.57,9667.04,14117.4,4480.74,4450.36
8,2025-07-02,2,3,6180.9,3.68,2.52,14193.12,22745.71,7169.84,8552.59
9,2025-07-02,24,2,2863.1,3.84,2.63,10721.95,10994.3,3464.35,272.35
10,2025-07-03,1,4,6411.8,2.23,1.61,11286.32,14298.31,3975.32,3011.99
11,2025-07-03,19,4,5649.8,2.43,1.57,10646.54,13729.01,4858.83,3082.47
12,2025-07-03,19,3,1542.1,3.57,2.57,3763.34,5505.3,1542.1,1741.96
13,2025-07-03,12,3,1015.1,3.69,2.55,2580.77,3745.72,1157.21,1164.95
14,2025-07-05,4,5,2826.6,1.18,0.7,3106.87,3335.39,1356.77,228.52
15,2025-07-05,8,4,6363.5,2.42,1.57,5091.06,15399.67,5408.98,10308.61
16,2025-07-05,13,1,5587.2,4.77,3.18,22845.47,26650.94,8883.65,3805.47
17,2025-07-05,7,5,3202.6,1.17,0.68,3217.67,3747.04,1569.27,529.37
18,2025-07-05,17,5,3012.8,1.27,0.72,1979.82,3826.26,1657.04,1846.44
19,2025-07-06,25,4,7354.6,2.44,1.61,16222.07,17945.22,6104.32,1723.15
20,2025-07-06,24,4,3456.2,2.28,1.61,7389.23,7880.14,2315.65,490.91
21,2025-07-06,25,2,2479.7,3.89,2.73,9020.5,9646.03,2876.45,625.53
22,2025-07-06,4,6,3394.7,0.46,0.2,1564.99,1561.56,882.62,-3.43
23,2025-07-06,24,2,3137.1,4.03,2.71,8560.25,12642.51,4140.97,4082.26
24,2025-07-06,7,1,2125.3,4.6,3.19,8267.35,9776.38,2996.67,1509.03
25,2025-07-06,19,5,3215.3,1.25,0.71,2550.78,4019.12,1736.26,1468.34
26,2025-07-06,5,4,3632.1,2.26,1.62,6608.0,8208.55,2324.54,1600.55
27,2025-07-06,6,6,2978.2,0.45,0.2,1211.38,1340.19,744.55,128.81
28,2025-07-07,13,4,4816.6,2.29,1.57,8436.65,11030.01,3467.95,2593.36
29,2025-07-07,13,3,3661.6,3.76,2.55,11708.04,13767.62,4430.54,2059.58
30,2025-07-07,5,5,3886.4,1.26,0.71,3600.39,4896.86,2137.52,1296.47
31,2025-07-07,12,3,3077.2,3.6,2.52,3478.36,11077.92,3323.38,7599.56
32,2025-07-07,11,3,3402.6,3.56,2.45,9291.98,12113.26,3776.89,2821.28
33,2025-07-07,8,5,4196.9,1.24,0.7,2865.81,5204.16,2266.33,2338.35
34,2025-07-07,4,4,2402.9,2.22,1.64,5322.8,5334.44,1393.68,11.64
35,2025-07-07,7,5,3309.9,1.24,0.7,3318.47,4104.28,1787.35,785.81
36,2025-07-08,11,4,3258.5,2.34,1.63,4102.58,7624.89,2313.54,3522.31
37,2025-07-08,12,1,5728.5,4.53,3.19,7002.02,25950.11,7676.19,18948.09
38,2025-07-08,24,2,3396.7,4.15,2.74,12595.47,14096.3,4789.35,1500.83
39,2025-07-08,23,5,3256.9,1.24,0.68,3061.44,4038.56,1823.86,977.12
40,2025-07-08,4,5,3934.3,1.21,0.72,4162.55,4760.5,1927.81,597.95
41,2025-07-08,20,5,3763.4,1.27,0.71,3890.79,4779.52,2107.5,888.73
42,2025-07-08,2,2,733.5,4.23,2.76,1773.29,3102.71,1078.25,1329.42
43,2025-07-08,1,4,4968.9,2.25,1.6,8242.29,11180.02,3229.78,2937.73
44,2025-07-08,9,6,3199.0,0.46,0.2,588.02,1471.54,831.74,883.52
45,2025-07-09,23,5,3763.4,1.24,0.71,2599.29,4666.62,1994.6,2067.33
46,2025-07-09,21,3,2535.0,3.76,2.54,9534.55,9531.6,3092.7,-2.95
47,2025-07-09,1,6,3993.0,0.44,0.2,1220.03,1756.92,958.32,536.89
48,2025-07-09,25,1,4506.9,4.58,3.09,20626.02,20641.6,6715.28,15.58
49,2025-07-10,4,4,2775.1,2.22,1.63,6150.06,6160.72,1637.31,10.66
50,2025-07-10,2,4,5759.6,2.26,1.6,8441.9,13016.7,3801.34,4574.8
51,2025-07-10,25,6,2834.3,0.45,0.2,983.58,1275.44,708.58,291.86
52,2025-07-10,7,5,1877.0,1.2,0.71,1765.3,2252.4,919.73,487.1
53,2025-07-10,3,3,5009.7,3.73,2.51,12848.27,18686.18,6111.83,5837.91
54,2025-07-10,6,4,658.1,2.33,1.63,708.45,1533.37,460.67,824.92
55,2025-07-10,4,6,3785.3,0.46,0.2,1640.5,1741.24,984.18,100.74
56,2025-07-10,20,4,4711.7,2.43,1.6,11045.41,11449.43,3910.71,404.02
57,2025-07-11,3,5,2824.8,1.23,0.68,714.37,3474.5,1553.64,2760.13
